FORPRINT: Mon Feb  3 16:23:31 2014
       16612.549      -89.691556
       16612.559      -89.667318
       16612.569      -89.641828
       16612.579      -89.615106
       16612.589      -89.587139
       16612.599      -89.557935
       16612.609      -89.527495
       16612.619      -89.495821
       16612.629      -89.462921
       16612.639      -89.428778
       16612.649      -89.393420
       16612.659      -89.356823
       16612.669      -89.319015
       16612.679      -89.279978
       16612.689      -89.239720
       16612.699      -89.198244
       16612.709      -89.155552
       16612.719      -89.111655
       16612.729      -89.066528
       16612.739      -89.020209
       16612.749      -88.972664
       16612.759      -88.923932
       16612.769      -88.873987
       16612.779      -88.822841
       16612.789      -88.770496
       16612.799      -88.716953
       16612.809      -88.662226
       16612.819      -88.606286
       16612.829      -88.549177
       16612.839      -88.490869
       16612.849      -88.431375
       16612.859      -88.370698
       16612.869      -88.308839
       16612.879      -88.245814
       16612.889      -88.181588
       16612.899      -88.116212
       16612.909      -88.049639
       16612.919      -87.981923
       16612.929      -87.913027
       16612.939      -87.842966
       16612.949      -87.771742
       16612.959      -87.699359
       16612.969      -87.625833
       16612.979      -87.551123
       16612.989      -87.475290
       16612.999      -87.398278
       16613.009      -87.320147
       16613.019      -87.240857
       16613.029      -87.160425
       16613.039      -87.078853
       16613.049      -86.996143
       16613.059      -86.912315
       16613.069      -86.827323
       16613.079      -86.741233
       16613.089      -86.654001
       16613.099      -86.565644
       16613.109      -86.476165
       16613.119      -86.385567
       16613.129      -86.293871
       16613.139      -86.201025
       16613.149      -86.107105
       16613.159      -86.012039
       16613.169      -85.915905
       16613.179      -85.818649
       16613.189      -85.720293
       16613.199      -85.620840
       16613.209      -85.520292
       16613.219      -85.418672
       16613.229      -85.315923
       16613.239      -85.212127
       16613.249      -85.107208
       16613.259      -85.001249
       16613.269      -84.894191
       16613.279      -84.786058
       16613.289      -84.676853
       16613.299      -84.566579
       16613.309      -84.455259
       16613.319      -84.342833
       16613.329      -84.229389
       16613.339      -84.114865
       16613.349      -83.999287
       16613.359      -83.882656
       16613.369      -83.764976
       16613.379      -83.646273
       16613.389      -83.526481
       16613.399      -83.405694
       16613.409      -83.283823
       16613.419      -83.160965
